"account_status","loan_duration_mths","credit_history","loan_purpose","credit_amount","savings","employment_duration","installment_rate","marital_status","other_debtors","residence_since","property","age_yrs","other_installment_plans","housing","existing_credits","occupation","people_liable","telephone","foreign_worker","target","target_bad"
"No checking account",18,"Critical account / other credits existing","Car (new)",1028,"< 100 DM","1 to < 4 years","< 20%","Female divorced/separated/married","None","4 to < 7 years","Real estate",36,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",8,"Critical account / other credits existing","Car (new)",3398,"< 100 DM","4 to < 7 years",">= 35% of disposable income","Male single","None",">= 7 years","Real estate",39,"None","Own","2 to 3","Unskilled resident","0 to 2","None","No","Good",0
"No checking account",12,"Critical account / other credits existing","Furniture / equipment",5801,"Unknown / no savings account",">= 7 years","25% to < 35%","Male single","None",">= 7 years","Building society savings / life insurance",49,"None","Rent","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",24,"Existing credits paid back duly till now","Car (new)",1525,">= 1000 DM","4 to < 7 years","< 20%","Female divorced/separated/married","None","4 to < 7 years","Car or other property",34,"None","Own","1","Skilled employee / official","3 or more","Yes","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",36,"Existing credits paid back duly till now","Radio / television",4473,"< 100 DM",">= 7 years","< 20%","Male single","None","1 to < 4 years","Car or other property",31,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",6,"Existing credits paid back duly till now","Radio / television",1068,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Car or other property",28,"None","Own","1","Skilled employee / official","3 or more","None","Yes","Good",0
"< 0 DM",24,"Critical account / other credits existing","Car (used)",6615,"< 100 DM","Unemployed","25% to < 35%","Male single","None",">= 7 years","Unknown / no property",75,"None","For free","2 to 3","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"No checking account",18,"Critical account / other credits existing","Education",1864,"100 to < 500 DM","1 to < 4 years","< 20%","Female divorced/separated/married","None","1 to < 4 years","Real estate",30,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",60,"Existing credits paid back duly till now","Car (new)",7408,"100 to < 500 DM","< 1 year","< 20%","Female divorced/separated/married","None","1 to < 4 years","Building society savings / life insurance",24,"None","Own","1","Manager / self-employed / highly qualified","0 to 2","None","Yes","Bad",1
"No checking account",48,"Critical account / other credits existing","Car (used)",11590,"100 to < 500 DM","1 to < 4 years","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Car or other property",24,"Bank","Rent","2 to 3","Unskilled resident","0 to 2","None","Yes","Bad",1
"< 0 DM",24,"No credits taken / all credits paid back duly","Furniture / equipment",4110,"< 100 DM",">= 7 years","20% to < 25%","Male single","None",">= 7 years","Unknown / no property",23,"Bank","Rent","2 to 3","Skilled employee / official","3 or more","None","Yes","Bad",1
"< 0 DM",6,"Critical account / other credits existing","Furniture / equipment",3384,"< 100 DM","1 to < 4 years",">= 35% of disposable income","Male divorced/separated","None",">= 7 years","Real estate",44,"None","Rent","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Bad",1
"0 to < 200 DM",13,"Existing credits paid back duly till now","Radio / television",2101,"< 100 DM","< 1 year","25% to < 35%","Female divorced/separated/married","Guarantor",">= 7 years","Building society savings / life insurance",23,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"< 0 DM",15,"Existing credits paid back duly till now","Domestic appliances",1275,"Unknown / no savings account","1 to < 4 years","< 20%","Female divorced/separated/married","None","1 to < 4 years","Car or other property",24,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"< 0 DM",24,"Existing credits paid back duly till now","Furniture / equipment",4169,"< 100 DM","1 to < 4 years","< 20%","Male single","None",">= 7 years","Building society savings / life insurance",28,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",10,"Existing credits paid back duly till now","Furniture / equipment",1521,"< 100 DM","1 to < 4 years","< 20%","Male divorced/separated","None","1 to < 4 years","Car or other property",31,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"0 to < 200 DM",24,"Critical account / other credits existing","Education",5743,"< 100 DM","< 1 year","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Unknown / no property",24,"None","For free","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",21,"Existing credits paid back duly till now","Furniture / equipment",3599,"< 100 DM","4 to < 7 years",">= 35% of disposable income","Female divorced/separated/married","None",">= 7 years","Car or other property",26,"None","Rent","1","Unskilled resident","0 to 2","None","Yes","Good",0
"0 to < 200 DM",18,"Existing credits paid back duly till now","Radio / television",3213,"500 to < 1000 DM","< 1 year",">= 35% of disposable income","Male married/widowed","None","4 to < 7 years","Real estate",25,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",18,"Existing credits paid back duly till now","Business",4439,"< 100 DM",">= 7 years",">= 35% of disposable income","Male single","Co-applicant","< 1 year","Real estate",33,"Bank","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",10,"Existing credits paid back duly till now","Car (new)",3949,"< 100 DM","< 1 year",">= 35% of disposable income","Male single","Guarantor","< 1 year","Building society savings / life insurance",37,"None","Own","1","Unskilled resident","3 or more","None","Yes","Good",0
"No checking account",15,"Critical account / other credits existing","Radio / television",1459,"< 100 DM","1 to < 4 years","< 20%","Female divorced/separated/married","None","1 to < 4 years","Car or other property",43,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"0 to < 200 DM",13,"Critical account / other credits existing","Radio / television",882,"< 100 DM","< 1 year","< 20%","Male single","Guarantor",">= 7 years","Real estate",23,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",24,"Existing credits paid back duly till now","Radio / television",3758,"500 to < 1000 DM","Unemployed",">= 35% of disposable income","Female divorced/separated/married","None",">= 7 years","Unknown / no property",23,"None","Rent","1","Unemployed / unskilled non-resident","0 to 2","None","Yes","Good",0
"No checking account",6,"Delay in paying off in the past","Business",1743,"100 to < 500 DM","1 to < 4 years",">= 35% of disposable income","Male single","None","1 to < 4 years","Real estate",34,"None","Own","2 to 3","Unskilled resident","0 to 2","None","Yes","Good",0
"0 to < 200 DM",9,"Critical account / other credits existing","Education",1136,">= 1000 DM",">= 7 years","< 20%","Male single","None","4 to < 7 years","Unknown / no property",32,"None","For free","2 to 3","Skilled employee / official","3 or more","None","Yes","Bad",1
"No checking account",9,"Existing credits paid back duly till now","Domestic appliances",1236,"< 100 DM","< 1 year",">= 35% of disposable income","Female divorced/separated/married","None",">= 7 years","Real estate",23,"None","Rent","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",9,"Existing credits paid back duly till now","Furniture / equipment",959,"< 100 DM","1 to < 4 years",">= 35% of disposable income","Female divorced/separated/married","None","1 to < 4 years","Car or other property",29,"None","Own","1","Skilled employee / official","0 to 2","None","No","Bad",1
"No checking account",18,"Critical account / other credits existing","Car (used)",3229,"Unknown / no savings account","Unemployed","25% to < 35%","Male single","None",">= 7 years","Unknown / no property",38,"None","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"< 0 DM",12,"No credits taken / all credits paid back duly","Radio / television",6199,"< 100 DM","1 to < 4 years","< 20%","Male single","None","1 to < 4 years","Building society savings / life insurance",28,"None","Rent","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"No checking account",10,"Existing credits paid back duly till now","Education",727,"500 to < 1000 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Unknown / no property",46,"None","For free","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",24,"Existing credits paid back duly till now","Car (new)",1246,"< 100 DM","< 1 year","< 20%","Male single","None","1 to < 4 years","Real estate",23,"Stores","Own","1","Unskilled resident","0 to 2","None","Yes","Bad",1
"No checking account",12,"Critical account / other credits existing","Radio / television",2331,"Unknown / no savings account",">= 7 years",">= 35% of disposable income","Male single","Co-applicant",">= 7 years","Real estate",49,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",36,"Delay in paying off in the past","Radio / television",4463,"< 100 DM","1 to < 4 years","< 20%","Male single","None","1 to < 4 years","Car or other property",26,"None","Own","2 to 3","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Bad",1
"No checking account",12,"Existing credits paid back duly till now","Radio / television",776,"< 100 DM","1 to < 4 years","< 20%","Male married/widowed","None","1 to < 4 years","Real estate",28,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",30,"Existing credits paid back duly till now","Furniture / equipment",2406,"< 100 DM","4 to < 7 years","< 20%","Female divorced/separated/married","None",">= 7 years","Real estate",23,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",18,"Existing credits paid back duly till now","Education",1239,"Unknown / no savings account","1 to < 4 years","< 20%","Male single","None",">= 7 years","Unknown / no property",61,"None","For free","1","Skilled employee / official","0 to 2","None","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",12,"Existing credits paid back duly till now","Radio / television",3399,"Unknown / no savings account",">= 7 years","25% to < 35%","Male single","None","4 to < 7 years","Car or other property",37,"None","Own","1","Manager / self-employed / highly qualified","0 to 2","None","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",12,"Delay in paying off in the past","Car (new)",2247,"< 100 DM","1 to < 4 years","25% to < 35%","Female divorced/separated/married","None","1 to < 4 years","Car or other property",36,"Stores","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",6,"Existing credits paid back duly till now","Furniture / equipment",1766,"< 100 DM","1 to < 4 years",">= 35% of disposable income","Male married/widowed","None","1 to < 4 years","Building society savings / life insurance",21,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",18,"Existing credits paid back duly till now","Furniture / equipment",2473,"< 100 DM","Unemployed","< 20%","Male single","None","< 1 year","Car or other property",25,"None","Own","1","Unemployed / unskilled non-resident","0 to 2","None","Yes","Bad",1
"No checking account",12,"Existing credits paid back duly till now","Business",1542,"< 100 DM","4 to < 7 years","25% to < 35%","Male single","None",">= 7 years","Car or other property",36,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",18,"Critical account / other credits existing","Car (used)",3850,"< 100 DM","4 to < 7 years","20% to < 25%","Male single","None","< 1 year","Car or other property",27,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
